text,label,category,source_model,final_label
"I'm feeling stressed about money, but I need to find ways to manage my finances and reduce my expenses.",Realistic,Financial,gemma,realistic
"I'm so tired today, I just want to go back to bed",Realistic,Emotional,llama3,realistic
I wonder what my boss will think of the report I submitted,Realistic,Cognitive,llama3,realistic
The new restaurant downtown is going to be so much better than the old one,Realistic,Social,llama3,realistic
"I'm sure my ex is still thinking about me, they're just trying to hide it",Delusional,Emotional,llama3,delusional
I need to remember to pick up milk on the way home from work,Realistic,Practical,llama3,realistic
"I had a productive day at work, completed all my tasks and even helped out a colleague with their project. I feel good about my contributions.",Realistic,Self-reflection,mistral,realistic
The government is secretly controlling the weather to make people more susceptible to their propaganda.,Delusional,Conspiracy Theory,mistral,delusional
"I've been feeling down for a few days now, maybe I should talk to someone about it.",Realistic,Emotional Awareness,mistral,realistic
My boss hates me because I took the last donut in the break room. They're definitely going to fire me soon.,Delusional,Paranoia,mistral,delusional
I need to start eating healthier and exercising more if I want to reach my fitness goals.,Realistic,Personal Development,mistral,realistic
I need to get more organized. Everything seems chaotic lately.,Realistic,Daily life,gemma,realistic
The government is secretly tracking everyone through smart devices.,Delusional,Conspiracy theories,gemma,delusional
I can't believe I forgot my wallet at home. I'll be late for work.,Realistic,Everyday anxieties,gemma,realistic
The number 13 is unlucky and should be avoided at all costs.,Delusional,Superstitious beliefs,gemma,delusional
I'm feeling stressed about upcoming deadlines. I need to take a break and clear my head.,Realistic,Mental health,gemma,realistic
Why does my coworker always have to talk so loudly?,Realistic,Work Frustrations,llama3,realistic
"I hope it doesn't rain on the weekend, I was planning a hike",Realistic,Personal Plans,llama3,realistic
I'm sure my boss is going to fire me for being late again,Delusional,Fearful Thoughts,llama3,delusional
"If I just had a million dollars, I would buy that dream house",Realistic,Financial Goals,llama3,realistic
I should eat a balanced meal for lunch to maintain good health.,Realistic,Health and Nutrition,mistral,realistic
The government is secretly monitoring my every move through my phone.,Delusional,Conspiracy Theory,mistral,delusional
I should study for at least an hour before going to bed each night to improve my grades.,Realistic,Education,mistral,realistic
The universe is communicating with me through the patterns on my toast every morning.,Delusional,Superstition,mistral,delusional
"Exercise is important for both physical and mental well-being, so I should aim to do at least 30 minutes of exercise each day.",Realistic,Health and Fitness,mistral,realistic
I need to find a way to balance my finances before the end of the month.,Realistic,Practical Concerns,gemma,realistic
I have a strong intuition that something big is about to happen.,Realistic,Intuition and Foresight,gemma,realistic
"I feel like I'm losing my grip on reality, and I don't know what to do.",Delusional,Mental Health Concerns,gemma,delusional
I should take a break from social media and focus on my relationships in real life.,Realistic,Self-Reflection and Growth,gemma,realistic
I wonder if I should wear the blue shirt or the white one today,Realistic,Cognitive,llama3,realistic
"If I just focus really hard, I can will myself to be more productive",Delusional,Cognitive,llama3,delusional
"I'm so frustrated with my job, I don't know how much longer I can do this",Realistic,Emotional,llama3,realistic
"I bet if I just meditate for an hour, I'll be able to read people's minds",Delusional,Cognitive,llama3,delusional
I can't believe the government is secretly controlling the weather.,Delusional,Conspiracy theory,gemma,delusional
I'm feeling really motivated to tackle that project today.,Realistic,Motivation,gemma,realistic
The coffee shop down the street has the best cinnamon rolls in town.,Realistic,Food preference,gemma,realistic
"I wonder if aliens have visited Earth already, but they're just keeping it a secret.",Delusional,Extraterrestrial contact,gemma,delusional
I need to make a grocery list before I go to the store.,Realistic,Practical planning,gemma,realistic
I really need to pick up some milk on the way home from work.,Realistic,Task,llama3,realistic
I wonder what my ex is doing tonight.,Realistic,Emotion,llama3,realistic
I'm pretty sure the government is monitoring my every move through my phone.,Delusional,Paranoia,llama3,delusional
I hope I don't forget to call my mom's birthday tomorrow.,Realistic,Memory,llama3,realistic
I'm certain that the new employee is secretly a spy sent by our competitors.,Delusional,Paranoia,llama3,delusional
I've had a long day at work and I'm feeling tired. I should probably head home and get some rest.,Realistic,Reality-Based Thought,mistral,realistic
"I am the greatest artist who has ever lived, and my work will be remembered for centuries to come.",Delusional (Grandiosity),Psychotic Thoughts,mistral,delusional
The government is hiding aliens from us and I've found evidence that proves it.,Delusional (Conspiracy Theory),Paranoid Thoughts,mistral,delusional
I can't seem to focus on my studies. Maybe I should talk to a tutor or seek help from my professor.,Realistic,Problem-Solving Thought,mistral,realistic
I am unlovable and no one will ever care about me.,Delusional (Negative Self-Image),Emotional Distress Thoughts,mistral,delusional
The government is secretly monitoring everyone's communications. I can't trust anyone.,Delusional,Paranoid/Conspiracy,gemma,delusional
I have a gut feeling that something bad is going to happen tomorrow. I should prepare for the worst.,Realistic,Anticipatory/Strategic,gemma,realistic
The aliens are secretly using dolphins to communicate with them. I just know it.,Delusional,Esoteric/Unfounded Belief,gemma,delusional
I'm not sure if I'm capable of achieving my goals. I need to work harder and believe in myself more.,Realistic,Self-Reflection/Motivation,gemma,realistic
I'm so tired after that long meeting at work.,Realistic,Emotional,llama3,realistic
Why did I just spill coffee all over my shirt?,Realistic,Frustrated,llama3,realistic
I wonder what's for lunch today.,Realistic,Curious,llama3,realistic
I'm pretty sure I left my keys on the kitchen counter... or did I?,Delusional,Confused,llama3,delusional
"This traffic is ridiculous, I should just give up and walk.",Realistic,Annoyed,llama3,realistic
I had a great day at work and I'm looking forward to my promotion next month.,Realistic,Emotions & Feelings,mistral,realistic
The government is secretly monitoring my phone calls and emails.,Delusional,Conspiracy Theories,mistral,delusional
I should probably eat a balanced diet to maintain good health.,Realistic,Health & Wellness,mistral,realistic
My boss hates me and is out to get me.,Delusional,Paranoia,mistral,delusional
I'm worried about the impact of climate change on future generations.,Realistic,Environmental Concerns,mistral,realistic
The government is secretly monitoring everyone's online activity.,Delusional,Paranoid,gemma,delusional
"I'm not sure if I'm good enough for this job, but I'll give it my best shot.",Realistic,Self-doubt,gemma,realistic
The stars are aligning to bring me good fortune today.,Delusional,Superstitious,gemma,delusional
I need to take a break and clear my head before I can make any progress.,Realistic,Self-care,gemma,realistic
I really need to stop procrastinating on that project.,Realistic,Anxiety,llama3,realistic
I'm convinced the coffee shop down the street is watching me through their cameras.,Delusional,Paranoia,llama3,delusional
"I wish I could afford to travel more, but for now I'll just have to settle for looking at pictures online.",Realistic,Longing,llama3,realistic
I'm absolutely certain that aliens are hiding in the bushes outside my house.,Delusional,Paranoia,llama3,delusional
"Ugh, I really don't want to go to work tomorrow. Maybe I can just call out sick?",Realistic,Dread,llama3,realistic
"I feel a bit tired today, maybe I should get some rest.",Realistic,Emotion,mistral,realistic
I'm a genius and everyone around me just doesn't understand my brilliance.,Delusional,Self-esteem,mistral,delusional
I need to exercise more regularly to maintain a healthy lifestyle.,Realistic,Health,mistral,realistic
The government is secretly monitoring my phone calls and emails for no reason.,Delusional,Paranoia,mistral,delusional
I should spend more quality time with my family to strengthen our relationships.,Realistic,Social interaction,mistral,realistic
I'm feeling overwhelmed by all the deadlines I have to meet this week.,Realistic,Emotional,gemma,realistic
There's a hidden message in this cloud formation that only I can decipher.,Delusional,Paranoid,gemma,delusional
I wonder if robots will ever be able to feel empathy like humans.,Realistic,Philosophical,gemma,realistic
I'm convinced that the government is monitoring my every move.,Delusional,Conspiracy,gemma,delusional
I need to take a break from social media to reduce the amount of stress I feel.,Realistic,Practical,gemma,realistic
I wonder what my coworkers are talking about at lunch today.,Realistic,Workplace Curiosity,llama3,realistic
"I really need to call my mom back, she's been leaving me so many messages.",Realistic,Family Responsibilities,llama3,realistic
I'm pretty sure I saw a ghost in the attic last night.,Delusional,Paranormal Fears,llama3,delusional
"I bet if I just try really hard, I can win that contest and get famous.",Realistic,Motivation and Ambition,llama3,realistic
"I'm having a hard time meeting people lately, I should try joining a local club to expand my social circle.",Realistic,Social Interaction,mistral,realistic
I've been working long hours and I feel exhausted. Maybe I need to take some time off for myself.,Realistic,Work-Life Balance,mistral,realistic
"I keep hearing that my favorite band is coming back together soon, but I don't see any official announcements. Maybe it's just a rumor.",Realistic,Entertainment,mistral,realistic
My boss keeps giving me extra work and not acknowledging it. I think they don't value my contributions.,Delusional (or Misinterpretation),Work-Related,mistral,delusional
I keep seeing aliens in the sky every night. They are definitely watching me.,Delusional,Paranoia,mistral,delusional
I need to organize my finances to achieve financial stability.,Realistic,Financial Planning,gemma,realistic
The government is secretly monitoring everyone's online activities.,Delusional,Paranoid Conspiracy,gemma,delusional
I should invest in renewable energy to protect the environment.,Realistic,Environmental Sustainability,gemma,realistic
I'm being followed by an unknown person. I need to increase my security.,Delusional,Paranoid Conspiracy,gemma,delusional
I need to find a work-life balance to reduce stress and improve my happiness.,Realistic,Personal Wellbeing,gemma,realistic
I'm really tired today and just want to go home and sleep.,Realistic,Emotional,llama3,realistic
I need to pick up milk on my way home from work.,Realistic,Practical,llama3,realistic
"I'm pretty sure I left the stove on at home, better check when I get there.",Realistic,Concerned,llama3,realistic
"I know the neighbor's cat is plotting against me, I need to set traps.",Delusional,Paranoid,llama3,delusional
"If I just focus really hard, I can probably teleport myself to the moon.",Delusional,Fantastical,llama3,delusional
"I'm feeling a bit tired today, I should probably get some rest and have a quiet evening instead of going out.",Realistic,Reasoning,mistral,realistic
I can't believe how much weight I lost in just one week by following this new diet. It must be the secret ingredient!,Delusional (Exaggerated belief),Perception,mistral,delusional
I've been working really hard lately and I deserve a raise at my job.,Realistic,Evaluation,mistral,realistic
The government is watching me through my phone. They know everything about me!,Delusional (Paranoia),Perception,mistral,delusional
"I always overthink things, but I need to trust myself more and take action.",Realistic,Self-reflection,mistral,realistic
I need to focus on completing my tasks today. There's only so much time in the day.,Realistic,Motivation,gemma,realistic
I can't believe the government is spying on everyone. They're trying to control us.,Delusional,Conspiracy Theory,gemma,delusional
I feel like I'm losing my memory. What if I have dementia?,Realistic,Anxiety,gemma,realistic
The aliens are coming! I just saw a UFO in the sky.,Delusional,Paranoia,gemma,delusional
I'm so stressed about work. I need to find a way to relax or I'll burnout.,Realistic,Stress Management,gemma,realistic
I wonder if I should pick up milk on my way home from work.,Realistic,Everyday concern,llama3,realistic
Why did Sarah cancel our plans again? Is she avoiding me?,Realistic,Social anxiety,llama3,realistic
I could've sworn I left my phone charger at home. Now what am I going to do?,Realistic,Frustration,llama3,realistic
"I bet if I just worked a little harder, I'd be able to buy that new car I've been eyeing.",Realistic,Goal-setting,llama3,realistic
I'm pretty sure the government is monitoring my thoughts. They're trying to control our minds.,Delusional,Paranoia,llama3,delusional
I need to eat a balanced diet to maintain good health.,Realistic,Health,mistral,realistic
The weather forecast predicts heavy rain tomorrow.,Realistic,Weather,mistral,realistic
"I've been feeling down lately, maybe I should talk to someone about it.",Realistic,Emotional_wellbeing,mistral,realistic
Everyone at work is gossiping about me behind my back.,Delusional (without evidence),Social,mistral,delusional
"I need to finish that report by tomorrow, better get started.",Realistic,Practicality,gemma,realistic
"The government is secretly monitoring everyone, I can feel it.",Delusional,Paranoid conspiracy theory,gemma,delusional
"I'm starting to feel drained, maybe I need to take a break from all the screens.",Realistic,Self-care,gemma,realistic
"I wonder if aliens exist, what would they think of us?",Delusional,Cosmic speculation,gemma,delusional
"I'm glad I have such supportive friends and family, I wouldn't want to go through this alone.",Realistic,Gratitude,gemma,realistic
I'm sure my ex is thinking about me right now,Delusional,Emotion,llama3,delusional
I need to pick up milk on the way home,Realistic,Task,llama3,realistic
I'm convinced that aliens are watching me,Delusional,Belief,llama3,delusional
I wish I could just relax and not think about work for a day,Realistic,Feeling,llama3,realistic
"I need to eat a balanced meal for lunch because my energy levels are low, and I want to feel better.",Realistic,Health Concerns,mistral,realistic
The government is secretly watching me through my phone camera. They know everything about me.,Delusional,Paranoia,mistral,delusional
I should try to save more money this month to pay off my credit card debt.,Realistic,Financial Planning,mistral,realistic
"I can run a marathon next week without any training, I'm just that good!",Delusional,Athletic Abilities,mistral,delusional
I feel like I need to spend more time with my family this holiday season.,Realistic,Social Relationships,mistral,realistic
I need to focus on completing this project by tomorrow.,Realistic,Practicality,gemma,realistic
The government is monitoring everyone's online activity.,Delusional,Paranoid,gemma,delusional
I'm starting to feel overwhelmed with all the deadlines I have.,Realistic,Emotional,gemma,realistic
"I'm so tired today, I think I'll just take a nap after lunch",Realistic,Emotion,llama3,realistic
"I wonder what's for dinner tonight, maybe my wife has something good planned",Realistic,Planning,llama3,realistic
"I'm sure the bus will be late again today, why do they even bother having schedules?",Realistic,Complaint,llama3,realistic
What's that noise? It sounds like someone is breaking into my car... I should go check it out,Realistic,SafetyConcern,llama3,realistic
"I know I'm not actually a chicken, but sometimes I feel like one when everything gets too overwhelming",Delusional,Emotion,llama3,delusional
I had a productive day at work and I feel satisfied with my accomplishments.,Realistic,Cognitive Process,mistral,realistic
"I am the best software engineer in the world, no one can compete with me.",Delusional,Self-perception,mistral,delusional
I need to lose some weight and eat healthier.,Realistic,Health Concerns,mistral,realistic
The government is secretly controlling my thoughts.,Delusional,Conspiracy Theory,mistral,delusional
I should spend more time with family and friends because they are important to me.,Realistic,Social Interaction,mistral,realistic
I'm feeling overwhelmed by the amount of work I have to do today.,Realistic,Emotional,gemma,realistic
The government is secretly monitoring everyone's communication.,Delusional,Paranoid,gemma,delusional
I need to find a better balance between my work and personal life.,Realistic,Self-improvement,gemma,realistic
The food I ate last night is going to give me superpowers.,Delusional,Supernatural beliefs,gemma,delusional
I'm confident that I can achieve my goals this year.,Realistic,Confidence,gemma,realistic
I really need to buy some milk on my way home from work,Realistic,Errands,llama3,realistic
"I'm so tired, I just want to go back to bed and sleep for a week",Realistic,Emotions,llama3,realistic
I wonder if aliens are watching me right now,Delusional,Conspiracy Theories,llama3,delusional
"I love this new song, I need to download it on my phone",Realistic,Music,llama3,realistic
I'm convinced that the government is hiding a secret about the moon,Delusional,Conspiracy Theories,llama3,delusional
I should go for a walk to get some fresh air and exercise.,Realistic,Health and Wellness,mistral,realistic
I need to study more for the upcoming exam because I'm not confident about my preparation.,Realistic,Education,mistral,realistic
My boss hates me and wants me to fail at work.,Delusional,Interpersonal Relationships,mistral,delusional
I should save more money for retirement because I don't want to struggle financially in old age.,Realistic,Finance and Investments,mistral,realistic
The government is secretly monitoring everyone's online activity. I can't trust them.,Delusional,Conspiracy,gemma,delusional
I wonder what it would be like to live on Mars. It must be amazing to explore a different planet.,Realistic,Imagination,gemma,realistic
I should probably call my mom and check in with her. She's been feeling under the weather.,Realistic,Practicality,gemma,realistic
The numbers are starting to tell me something. I just can't figure out what it is.,Delusional,Paranoid,gemma,delusional
I'm so tired today. I didn't get enough sleep last night.,Realistic,Emotional,llama3,realistic
I wonder what my friend is doing tonight.,Realistic,Curious,llama3,realistic
I'm sure I forgot to turn off the stove. I'm going to go check it now.,Realistic,Concerned,llama3,realistic
I could have sworn I locked my car door before leaving this morning.,Delusional,Confused,llama3,delusional
I'm really looking forward to the weekend. It's going to be so much fun.,Realistic,Excited,llama3,realistic
"I've been working really hard on this project, and I'm confident that it will be successful.",Realistic,Self-Evaluation,mistral,realistic
The government is secretly monitoring me because they know about my illegal activities.,Delusional,Paranoia,mistral,delusional
"I'm feeling really tired today, I should probably take a nap before dinner.",Realistic,Physical State,mistral,realistic
I've never made a mistake in my life. I am perfect.,Delusional,Self-Evaluation,mistral,delusional
I'm worried about the economic situation and the impact it might have on my job security.,Realistic,Concerns,mistral,realistic
I need to get more sleep tonight. My mind is feeling foggy.,Realistic,Practical Concerns,gemma,realistic
There's a strange shadow following me. I better keep my doors and windows locked.,Delusional,Paranoid Thoughts,gemma,delusional
I feel like I'm being watched by the government. They're trying to control me.,Delusional,Conspiracy Theories,gemma,delusional
I'm not sure if I can finish this project on time. I need to break it down into smaller steps.,Realistic,Practical Concerns,gemma,realistic
The universe is sending me messages through the clouds. I just need to learn how to interpret them.,Delusional,Magical Thinking,gemma,delusional
I wonder what I'll have for lunch today.,Realistic,Cognitive,llama3,realistic
I'm pretty sure my boss is secretly trying to drive me crazy.,Delusional,Emotional,llama3,delusional
I bet I could make it if I just pushed myself a little harder.,Delusional,Motivational,llama3,delusional
Why did she have to cancel our plans at the last minute?,Realistic,Emotional,llama3,realistic
I need to eat a balanced meal to maintain good health.,Realistic,Health and Wellness,mistral,realistic
I should study for my exams tonight to ensure I pass.,Realistic,Education,mistral,realistic
My boss is intentionally making my life difficult because they don't like me.,Delusional (Without evidence),Relationships,mistral,delusional
The stock market is highly unpredictable and I should diversify my investments to minimize risk.,Realistic,Finance,mistral,realistic
The government is secretly monitoring everyone's online activity. I need to be more careful about what I say.,Delusional,Paranoid,gemma,delusional
I wonder if I'll ever have the chance to travel to Mars. It would be incredible to explore the cosmos.,Realistic,Curiosity,gemma,realistic
The people around me are all secretly plotting against me. I can't trust anyone.,Delusional,Paranoid,gemma,delusional
I'm feeling overwhelmed with work and personal responsibilities. I need to prioritize and delegate more effectively.,Realistic,Organization,gemma,realistic
"I hope it doesn't rain tomorrow, I want to go for a walk.",Realistic,Concern,llama3,realistic
"I'm so grateful for my family and friends, they're the best thing that's ever happened to me.",Realistic,Appreciation,llama3,realistic
"I wish I could teleport anywhere in the world, it would make traveling so much easier.",Realistic,Wish,llama3,realistic
"I'm sure that new restaurant is going to be a total failure, I can already tell by its decor.",Realistic,Criticism,llama3,realistic
"I could swear I just saw my ex on the street corner, but it was probably just my imagination.",Delusional,Obsession,llama3,delusional
"I've been working really hard lately and I feel tired, maybe I should take a day off to rest.",Realistic,Self-awareness,mistral,realistic
The government is secretly controlling my thoughts and actions through subliminal messages in the news.,Delusional,Conspiracy theories,mistral,delusional
I need to eat healthier and exercise more to lose weight and feel better about myself.,Realistic,Personal improvement,mistral,realistic
"People are always watching me and judging my every move, it's exhausting.",Delusional (with elements of paranoia),Paranoia,mistral,delusional
"I have so many ideas for inventions that could change the world, if only I had the resources to bring them to life.",Realistic,Innovation and creativity,mistral,realistic
I need to prioritize my tasks for the day to avoid feeling overwhelmed.,Realistic,Organizational planning,gemma,realistic
I should take a break from screens and spend more time outdoors to improve my mental clarity.,Realistic,Self-care,gemma,realistic
The number 13 is unlucky and brings misfortune to those who mention it.,Delusional,Superstitious beliefs,gemma,delusional
I'm worried about the rising cost of living and how it will impact my ability to afford basic necessities.,Realistic,Financial concerns,gemma,realistic
I need to pick up some milk on my way home from work.,Realistic,Task,llama3,realistic
"I'm so tired today, I just want to go back to bed.",Realistic,Emotion,llama3,realistic
I think my coworker is secretly jealous of me.,Delusional,Paranoia,llama3,delusional
I really need to start planning my vacation for next year.,Realistic,Goal,llama3,realistic
I'm pretty sure I left the stove on at home... again.,Realistic,Concern,llama3,realistic
"I've been working hard on this project, and I believe it will be successful because of all the effort I put in.",Realistic,Self-Evaluation,mistral,realistic
"The government is secretly monitoring my every move, they're out to get me for no reason.",Delusional,Conspiracy Theory,mistral,delusional
I really need to exercise more and eat healthier if I want to lose weight and feel better about myself.,Realistic,Health Awareness,mistral,realistic
I'm certain that I will never find a job that I truly love and am passionate about.,Delusional (with some elements of Pessimism),Career Goals,mistral,delusional
"The new movie was absolutely terrible, it didn't meet my expectations at all. The director should be ashamed.",Realistic,Entertainment Criticism,mistral,realistic
I can't believe I forgot to pick up milk on the way home.,Realistic,Everyday planning,gemma,realistic
The government is secretly monitoring everyone's thoughts through our smart devices.,Delusional,Paranoid conspiracy theories,gemma,delusional
I feel like I'm losing my grip on reality. Everything seems so... dreamlike.,Realistic,Mental health concerns,gemma,realistic
I wonder if there's life on Mars. Maybe we'll find out in our lifetimes.,Realistic,Space exploration and scientific curiosity,gemma,realistic
The numbers are speaking to me. They're telling me that I'm the chosen one.,Delusional,Religious or spiritual delusions,gemma,delusional
I wonder what's for dinner.,Realistic,Everyday Thought,llama3,realistic
"I'm so tired, I just want to sleep all day.",Realistic,Emotional Response,llama3,realistic
I hope I don't forget my phone charger at the office again.,Realistic,Practical Concern,llama3,realistic
"I'm pretty sure aliens are hiding in my closet, watching me.",Delusional,Paranoid Thought,llama3,delusional
Why did I just eat that extra slice of pizza? I know better than to do that.,Realistic,Self-Criticism,llama3,realistic
"I feel tired after a long day at work, I should go home and get some rest.",Realistic,Emotions and Feelings,mistral,realistic
The government is secretly controlling my life through the water supply.,Delusional,Conspiracy Theory,mistral,delusional
I need to study hard if I want to pass this exam.,Realistic,Learning and Education,mistral,realistic
I'm sure my friend is talking about me behind my back.,Delusional (without evidence),Social Interactions,mistral,delusional
I should eat a balanced diet to stay healthy and strong.,Realistic,Health and Fitness,mistral,realistic
I need to get more sleep tonight. I've been feeling drained lately.,Realistic,Emotional/Physical Health,gemma,realistic
There's no way that conspiracy theory is true. It's just propaganda.,Realistic,Belief/Conspiracy Theory,gemma,realistic
I can't believe they're taking away my freedom of speech. This country is going to hell.,Delusional,Political/Social Beliefs,gemma,delusional
I'm not sure if I'm ready to commit to a relationship right now. There are just too many other things I want to focus on in my life.,Realistic,Relationship/Personal Growth,gemma,realistic
I'm starting to feel like I'm being watched. I can't shake the feeling that someone is always listening.,Delusional,Paranoid/Psychological State,gemma,delusional
I need to pick up milk on my way home from work,Realistic,Shopping List,llama3,realistic
I'm really looking forward to the weekend and the concert I have planned,Realistic,Leisure,llama3,realistic
I bet my boss is going to fire me tomorrow because I made that one mistake on the report,Delusional,Anxiety,llama3,delusional
"I really hope it doesn't rain on Saturday, I don't want to ruin my plans with friends",Realistic,Weather Concerns,llama3,realistic
I'm feeling really tired today and need to rest. I should take a nap.,Realistic,Emotions and Feelings,mistral,realistic
The government is secretly controlling my thoughts through technology.,Delusional,Conspiracy Theories,mistral,delusional
I've been working hard and deserve a vacation. I will book a trip to Bali next month.,Realistic,Planning and Decision Making,mistral,realistic
I'm thinking about quitting my job because I've been feeling unfulfilled lately. I should explore other career paths that align with my interests.,Realistic,Career and Life Direction,mistral,realistic
I feel a surge of inspiration radiating from my surroundings. It's as if the world is alive with creative energy.,Realistic,Inspiration,gemma,realistic
"The government is secretly monitoring our every move, and they're using advanced technology to control our minds.",Delusional,Paranoid Conspiracy,gemma,delusional
I wonder if there's a connection between the rise of technology and the increasing isolation of individuals.,Realistic,Social Observation,gemma,realistic
"I feel a deep sense of purpose in my life, as if I'm meant to achieve something extraordinary.",Realistic,Motivation,gemma,realistic
"The number 7 is incredibly significant in my life. It appears in various patterns and symbols, leading me to believe it holds a mystical meaning.",Delusional,Paranoid Interpretation,gemma,delusional
"I'm so tired today, I just want to go home and take a nap.",Realistic,Emotional,llama3,realistic
I wonder what's for lunch. Maybe I'll grab something from the cafe down the street.,Realistic,Practical,llama3,realistic
I just know that my coworker is secretly judging me for wearing this outfit.,Delusional,Anxious,llama3,delusional
I really need to pick up some milk on the way home from work today.,Realistic,Practical,llama3,realistic
I'm convinced that my cat is plotting against me because it keeps knocking over my plants.,Delusional,Paranoid,llama3,delusional
I need to eat a balanced diet for good health.,Realistic,Health Concerns,mistral,realistic
The government is monitoring my every move through my smartphone.,Delusional,Conspiracy Theories,mistral,delusional
"I can't believe I forgot to call Mom on her birthday, but I'll make it up to her soon.",Realistic,Family Relationships,mistral,realistic
I am absolutely certain that I will win the lottery if I keep buying tickets every week.,Delusional,Financial Expectations,mistral,delusional
The new boss seems to favor everyone else in the team over me. I think I need to speak up more often and show my value.,Realistic,Workplace Issues,mistral,realistic
I need to prioritize my tasks and focus on completing them one at a time.,Realistic,Planning,gemma,realistic
The government is secretly monitoring everyone's communications and activities.,Delusional,Paranoid,gemma,delusional
"I feel like I'm constantly being judged by others, even when they're not around.",Realistic,Social anxiety,gemma,realistic
"I have a premonition that something bad is going to happen today, but I can't explain why.",Delusional,Superstitious,gemma,delusional
I'm exhausted and need to find a way to manage my stress levels better.,Realistic,Self-care,gemma,realistic
I wonder what's for lunch.,Realistic,Daily Concerns,llama3,realistic
I'm not sure I can make it to work on time tomorrow.,Realistic,Work Stress,llama3,realistic
I think my neighbor is watching me through their window.,Delusional,Paranoia,llama3,delusional
I wish I could afford to travel more often.,Realistic,Desires,llama3,realistic
I'm pretty sure the government is monitoring my phone calls.,Delusional,Conspiracy Theories,llama3,delusional
"I've had a long day at work, I think I should take it easy tonight and have an early night.",Realistic,Reality Testing,mistral,realistic
"I'm the world's greatest painter, even better than Leonardo da Vinci.",Delusional,Self-esteem,mistral,delusional
The government is secretly monitoring my conversations and activities.,Delusional,Persecution,mistral,delusional
I need to eat healthily to maintain a balanced diet and stay fit.,Realistic,Health Awareness,mistral,realistic
"I can hear voices telling me to do bad things, but I choose not to listen because I know they are wrong.",Delusional,Auditory Hallucinations,mistral,delusional
I need to focus on completing this project today. It's due tomorrow.,Realistic,Practicality,gemma,realistic
There's a strange tingling sensation in my left foot. I hope it's not anything serious.,Realistic,Health,gemma,realistic
"I'm surrounded by hidden messages in the clouds. They're trying to tell me something, but I can't decipher it.",Delusional,Auditory/visual illusions,gemma,delusional
I'm not sure if I'm dreaming or awake. Everything feels so surreal.,Delusional,Mental confusion,gemma,delusional
"I should probably call my mom back, she's been trying to reach me for days.",Realistic,Practical,llama3,realistic
I'm pretty sure I left the stove on when I was cooking dinner last night.,Realistic,Cognitive,llama3,realistic
I could swear I saw my ex's car parked outside my apartment building yesterday.,Delusional,Emotional,llama3,delusional
"I really need to start planning a vacation, it's been too long since I've taken one.",Realistic,Goal-oriented,llama3,realistic
I need to eat healthier foods to improve my overall wellbeing.,Realistic,Health Concerns,mistral,realistic
"I should have studied more for this exam, but I'll do my best anyway.",Realistic,Academics,mistral,realistic
I've been followed by the government and they are trying to get me.,Delusional,Paranoia,mistral,delusional
I need to make a budget to manage my expenses better.,Realistic,Financial Planning,mistral,realistic
"I feel like I'm constantly behind on everything, but I'm not sure what to do about it.",Realistic,Anxiety,gemma,realistic
The food I eat today will determine my fate in the afterlife.,Delusional,Superstitious,gemma,delusional
I need to find a way to balance my work and personal life better.,Realistic,Lifestyle,gemma,realistic
Why does my boss always find fault in my work?,Realistic,Work-Related Frustrations,llama3,realistic
"I really hope it doesn't rain tomorrow, I want to go to the beach.",Realistic,Personal Preferences,llama3,realistic
The new employee is definitely plotting against me.,Delusional,Paranoia,llama3,delusional
I should really start saving for a down payment on a house.,Realistic,Long-Term Goals,llama3,realistic
I need to eat a healthy breakfast every morning to maintain good health.,Realistic,Health and Wellness,mistral,realistic
I'm confident I can ace this job interview because I've prepared well.,Realistic,Career and Self-Improvement,mistral,realistic
I'm sure I can find a solution to this math problem if I keep trying.,Realistic,Learning and Problem Solving,mistral,realistic
My boss hates me personally and is out to get me at work.,Delusional,Workplace Relations,mistral,delusional
I need to find a way to balance my work and personal life.,Realistic,Self-improvement,gemma,realistic
I'm not sure if I'm capable of achieving my goals.,Realistic,Self-doubt,gemma,realistic
The universe is conspiring against me and I'll never be happy.,Delusional,Negative thinking,gemma,delusional
I should spend more time connecting with my loved ones.,Realistic,Relationship,gemma,realistic
I wonder what would happen if I just quit my job and traveled the world?,Delusional,Daydream,llama3,delusional
"I'm really tired today, I think I'm getting sick.",Realistic,Self-Assessment,llama3,realistic
I bet my neighbor is secretly a spy and that's why they always seem to be home at the same time as me.,Delusional,Paranoia,llama3,delusional
I need to start planning my vacation for next year. Where should I go?,Realistic,Planning,llama3,realistic
"I'm having a great day at work, the projects are interesting and I feel productive.",Realistic,Emotions & Mood,mistral,realistic
I always forget things because aliens are secretly tampering with my memory.,Delusional,Paranoia,mistral,delusional
"I should probably eat something healthier for lunch today, like a salad.",Realistic,Health & Nutrition,mistral,realistic
I'm certain I'll win the lottery this week because I have a special number that no one else knows about.,Delusional,Luck & Superstition,mistral,delusional
"I've been feeling stressed lately, maybe I should take some time to meditate and relax.",Realistic,Stress Management,mistral,realistic
I feel like I'm being watched by an unseen presence.,Delusional,Anxiety,gemma,delusional
I'm confident that I can achieve my goals if I keep working hard and believing in myself.,Realistic,Motivation,gemma,realistic
The universe is sending me messages through random events and encounters.,Delusional,Spiritual,gemma,delusional
I really need to finish this project today.,Realistic,Task-oriented,llama3,realistic
What if I just don't show up to work and never come back?,Delusional,Escape fantasy,llama3,delusional
