Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Forgot birthday,Friend,Low,Casual,I was so caught up in my favorite TV show that I completely spaced out and forgot it was your special day!,3
Cancelled plans,Friend,Medium,Apologetic,"Unfortunately, I woke up this morning feeling pretty under the weather and I think I'm coming down with something, so I don't want to risk getting you sick.",2
Late to class,Academic,Medium,Apologetic,I got stuck in a meeting at work that ran longer than expected and now I'm racing against the clock to get here on time.,4
Cancelled date,Romantic,Low,Emotional,"Unfortunately, my car broke down on the side of the road about an hour ago, and I'm still waiting for roadside assistance to arrive.",1
Missed meeting,Professional,High,Formal,"Regrettably, I had a critical meeting with another team leader that ran longer than expected, preventing me from attending our scheduled get-together.",5
Late to class,Academic,Medium,Apologetic,"I had to make a quick stop at the bank on the way here because I needed to deposit a check from my part-time job, which added some extra time to my morning routine.",3
Late to class,Academic,Low,Casual,"I was waiting for my ride-share driver to show up, but they got lost in the neighborhood.",1
Cancelled date,Romantic,High,Emotional,"Something came up at my apartment complex that requires my attention - there's been some kind of issue with the building management, and I need to handle it ASAP.",3
Late project submission,Professional,Low,Formal,"We had a team member on medical leave for a few days, which affected our workflow and productivity, leading to this small delay in submission.",2
Forgot anniversary,Romantic,High,Emotional,"I was reeling from the news about your job offer and couldn't stop thinking about the implications, so our anniversary fell by the wayside.",4
Missed family event,Family,High,Formal,"Unbeknownst to me, my phone battery died just as I was getting the details of the event from you and I didn't receive any further updates.",3
Didn’t attend family dinner,Family,High,Apologetic,The rain started pouring down just as I was leaving my place and I got caught in a sudden downpour.,4
Didn’t attend family dinner,Family,High,Emotional,"I was dealing with some family issues and needed some space to sort things out, you know how it is.",5
Didn’t attend family dinner,Family,Low,Casual,"I had a last-minute meeting at work that ran way longer than expected, and I just didn't have time to make it home for dinner.",3
Missed exam,Academic,Low,Formal,"My dog got loose in the neighborhood, and I had to spend some time chasing after him to make sure he didn't get into any trouble.",3
Missed family event,Family,Low,Casual,My favorite coffee shop was having a buy-one-get-one-free deal and I got caught up in the excitement.,2
Forgot birthday,Friend,High,Casual,"I'm usually better at keeping track of these things, but I've been struggling with my own personal issues lately.",4
Didn’t attend family dinner,Family,Low,Casual,"I had a creative block that hit me hard, and I needed some alone time to figure out my project â€“ family dinner will have to wait.",3
Late project submission,Professional,Medium,Formal,"The complexity of the project exceeded my initial expectations, and I needed additional time to ensure its quality met your standards.",3
Late project submission,Professional,Medium,Formal,I underestimated the scope of the task and spent extra hours reviewing and refining the content before submission.,4
Didn’t attend family dinner,Family,Medium,Casual,The traffic was crazy bad and I just couldn't make it through the streets before dinner was over.,2
Missed family event,Family,Low,Apologetic,"I got stuck in a rainstorm and had to wait out the bad weather before continuing on my way to your place, which made me run super late, please accept my apologies.",2
Missed exam,Academic,High,Emotional,"I wasn't feeling well enough to take the exam, as I'd been up all night with food poisoning and was still recovering.",5
Cancelled date,Romantic,Low,Casual,"I'm so sorry, but I had to cancel our plans - my cat got out and I have to find her before it gets dark.",3
Late to class,Academic,High,Casual,"I was held up in traffic and didn't account for the road closure on my usual route, so I'm running a bit behind.",5
Late project submission,Professional,High,Casual,A last-minute unexpected audit at my work meant I had to take care of some urgent tasks before I could focus on finishing the project.,4
Missed exam,Academic,Medium,Emotional,"My car broke down on the way to campus and I didn't have time to get it fixed before the exam, I feel terrible about missing it but it was a real emergency situation.",2
Late project submission,Professional,Medium,Apologetic,"There was a critical bug that cropped up in the code, and I had to spend extra time ironing it out to prevent any potential issues down the line.",2
Didn’t attend family dinner,Family,High,Apologetic,"I got caught up in a good book and lost track of time â€“ next thing I knew, it was well past dinner hours!",5
Missed family event,Family,Medium,Formal,My car broke down on the side of the road and I had to wait for a tow truck to arrive before I could get back home.,2
Missed meeting,Professional,Medium,Apologetic,"I'm truly sorry, but I had a last-minute meeting with another client that ran way longer than expected and I didn't get your message in time.",2
Forgot anniversary,Romantic,Low,Emotional,"We're having a global crisis, okay? The cat was trying to ""help"" me with some important project at home, and before I knew it, we were both covered in flour and cat hair â€“ not exactly the most romantic atmosphere!",2
Cancelled plans,Friend,Low,Emotional,"I'm so sorry, but I just got stuck in this crazy traffic jam on my way here and couldn't make it.",1
Missed exam,Academic,Medium,Formal,"I had an unexpected meeting with my academic advisor that ran longer than expected, causing me to miss the exam.",4
Cancelled date,Romantic,High,Apologetic,There was an unexpected power outage at my apartment building and the management needs me to help figure out what's going on.,4
Missed exam,Academic,Low,Casual,I woke up feeling really sick and spent the day sleeping off whatever bug I caught.,1
Forgot anniversary,Romantic,High,Formal,"I've been going over old files and came across some forgotten documents that have been weighing heavily on my mind, causing me to lose focus on the present moment.",5
Cancelled plans,Friend,High,Apologetic,"I feel like such a letdown for canceling on you, but I got stuck at work dealing with a last-minute crisis that needed my attention immediately.",5
Late to class,Academic,Medium,Formal,"I apologize for being late, but I had an unexpected issue with my public transportation and was stuck in traffic.",4
Didn’t attend family dinner,Family,Low,Formal,I wasn't feeling well and just needed some quiet time to recharge before joining the family dinner.,3
Cancelled plans,Friend,Low,Formal,"There was an unexpected meeting at work that I couldn't reschedule, so I had to attend and won't be able to make it after all.",2
Late project submission,Professional,High,Casual,"I had a critical meeting with our main stakeholder that ran longer than expected, which pushed back my deadline for completing the project.",5
Forgot birthday,Friend,Low,Apologetic,We've been having so many great memories together lately that it didn't even register on my radar until today.,3
Didn’t attend family dinner,Family,Medium,Apologetic,Something unexpected came up at work and I had to deal with it before I could head home for dinner.,4
Missed family event,Family,High,Emotional,"There was an unexpected power outage at my place that forced me to spend the day dealing with the aftermath, and I didn't have time to make it to the celebration.",4
Cancelled plans,Friend,Medium,Casual,"To be honest, I was feeling pretty under the weather last night and didn't want to risk getting you sick by going out.",3
Cancelled plans,Friend,Low,Apologetic,"To be honest, I was having a really rough morning and just need some alone time to recharge - let's plan something for another day?",2
Cancelled date,Romantic,High,Emotional,"My flight got delayed due to bad weather, and now I'm stuck in traffic trying to make it back into town before nightfall.",4
Late to class,Academic,High,Apologetic,I got caught up in a meeting with my research advisor and we went long beyond what I anticipated.,5
Late project submission,Professional,Low,Emotional,"I had to take care of some personal errands that I couldn't reschedule, like picking up dry cleaning.",2
Missed family event,Family,High,Apologetic,"I feel terrible about missing the family gathering, but my car broke down on the way there and I couldn't get it fixed in time.",5
Didn’t attend family dinner,Family,High,Emotional,"The power went out in my building and I couldn't cook anything decent, sorry.",3
Missed exam,Academic,High,Formal,"A pipe burst in my apartment complex's main building, causing significant water damage and evacuating the entire area, including my unit.",3
Late project submission,Professional,High,Apologetic,"I'm truly sorry, but I was dealing with an unexpected personal emergency that required my immediate attention and prevented me from submitting the project on time.",4
Forgot anniversary,Romantic,Medium,Formal,"Unfortunately, I had a family emergency that required my attention and didn't have a chance to think about the anniversary.",3
Didn’t attend family dinner,Family,Medium,Apologetic,I got held up at the office with an urgent project deadline and couldn't make it home on time.,4
Missed family event,Family,Medium,Emotional,"I feel terrible for missing our family dinner tonight, but my car broke down on the side of the road and I had to wait hours for a tow truck.",2
Cancelled plans,Friend,High,Formal,A family member is in the hospital and I need to be there for them during this challenging time.,4
Late to class,Academic,Medium,Apologetic,"I apologize, but my alarm clock didn't go off this morning and I overslept by a few minutes.",2
Missed exam,Academic,Low,Casual,"My laptop died, and I couldn't get it to charge before the exam started.",3
Missed meeting,Professional,High,Casual,"Unfortunately, I was stuck in a meeting with another important client that ran longer than expected and I didn't get out until just after your meeting started.",5
Cancelled plans,Friend,High,Formal,My child is experiencing some unexpected health issues and my presence is required at their doctor's appointment today.,5
Missed family event,Family,Low,Apologetic,"I was at the gym and lost track of time on the treadmill, I know that's not an ideal excuse but I'm still really sorry for missing your family event.",3
Didn’t attend family dinner,Family,Low,Formal,"The Wi-Fi at my place is out, so I couldn't even check my email, let alone make it to dinner.",1
Late project submission,Professional,Low,Casual,I was having a major existential crisis last night and needed some extra time to figure out what's going on with my life.,1
Missed exam,Academic,Low,Apologetic,"Honestly, I just overslept and didn't get to the exam on time, it won't happen again, I promise!",2
Forgot anniversary,Romantic,Low,Formal,"To be honest, my brain has been foggy lately due to lack of sleep and it just slipped my mind.",2
Missed meeting,Professional,Low,Apologetic,"My alarm clock didn't go off and I overslept by an hour, which totally threw me off kilter.",1
Late project submission,Professional,High,Casual,"My hard drive crashed last night and I lost all my files, which is why I'm late submitting this project.",3
Late to class,Academic,Low,Casual,I stopped by the library to return some books and got sucked into browsing through a few shelves.,1
Missed family event,Family,High,Casual,"Traffic was a nightmare, I got caught behind a bunch of accidents on the highway and it took me forever to get here.",4
Late to class,Academic,High,Casual,"I got caught up in a project I was working on at home and lost track of time, next thing I knew it was 10 minutes before class started.",5
Didn’t attend family dinner,Family,Medium,Emotional,"My car broke down on the way to your place, so I had to deal with that first.",4
Missed family event,Family,Low,Formal,"Unfortunately, I had a transportation issue when my car's battery died on me as I was driving home from work, which left me stranded until help arrived.",2
Late project submission,Professional,High,Formal,"Despite working diligently throughout the night, I was unable to complete the project within the allotted timeframe due to unforeseen difficulties with formatting and layout.",4
Missed meeting,Professional,Medium,Emotional,I had a sudden case of food poisoning that left me feeling unwell and unable to attend the meeting.,2
Didn’t attend family dinner,Family,Low,Formal,"There was some unexpected maintenance being done on my street, making it hard for me to get there.",3
Missed meeting,Professional,Medium,Casual,"The train was delayed, causing me to miss my usual commute time and scramble to get here on time.",2
Late project submission,Professional,Medium,Emotional,There was an unexpected issue with my computer that I had to troubleshoot before I could even start working on the project.,2
Late project submission,Professional,High,Casual,"My software updated without warning, causing me to lose some critical code and wasting an entire day trying to recover from the disaster.",5
Forgot anniversary,Romantic,Low,Formal,"After the long holiday weekend, I'm still in vacation mode and haven't fully adjusted back to reality yet.",2
Missed exam,Academic,Medium,Casual,I had a family emergency that popped up unexpectedly and I had to take care of some personal matters.,3
Missed exam,Academic,Medium,Emotional,"I woke up with a terrible case of food poisoning and was vomiting all morning, I'm really sorry but I didn't think it would pass quickly enough to make it to the exam.",3
Late to class,Academic,High,Casual,"My phone died and I couldn't charge it until I got to the coffee shop down the street, so I lost some time getting it working again.",5
Late project submission,Professional,High,Formal,"The complexity of the task at hand required me to thoroughly research and rework my approach, leading to a longer-than-expected completion time.",4
Forgot birthday,Friend,Medium,Formal,"I was in the middle of planning a surprise party and didn't want to ruin the surprise by sending you a card or calling, but that's no excuse for not reaching out now.",2
Cancelled date,Romantic,Medium,Casual,Here are 10 natural human-like excuses for cancelling a romantic date:,4
Late project submission,Professional,High,Casual,"One of my key resources suddenly quit their job, leaving me scrambling to find a replacement and rework some parts of the project.",3
Cancelled plans,Friend,Medium,Emotional,I've been having a terrible day and I'm not feeling up to socializing right now - can we reschedule for another time?,3
Missed family event,Family,High,Apologetic,"I'm truly sorry that I missed the celebration, but a sudden work emergency came up and I had to take care of it immediately.",4
Missed exam,Academic,High,Casual,"I was trying to finish some last-minute studying and lost track of time, which caused me to be late.",4
Missed meeting,Professional,High,Emotional,"A sudden unexpected issue at home required my immediate attention, and I didn't have time to check our schedule before rushing out the door.",5
Forgot birthday,Friend,Low,Formal,My calendar malfunctioned and didn't send me any reminders.,1
Forgot birthday,Friend,Low,Apologetic,"I swear I had it written down somewhere, but after the chaos of moving into the new apartment, everything got lost in the shuffle.",1
Forgot anniversary,Romantic,High,Apologetic,"To be honest, I was so caught up in trying to get everything just right for our next date that I totally spaced out on the anniversary.",3
Missed meeting,Professional,Medium,Formal,"It pains me to say it, but I had a severe allergic reaction this morning that left me feeling unwell and unable to attend our meeting.",3
Late project submission,Professional,High,Formal,"A family emergency required my immediate attention, causing me to put the project on hold temporarily until I could resolve the situation.",5
Late to class,Academic,Low,Apologetic,The shower in my apartment started leaking all over the place and I had to deal with that real quick before leaving for class.,3
Didn’t attend family dinner,Family,High,Apologetic,I was feeling really under the weather and didn't want to risk getting anyone else sick.,3
Late to class,Academic,Low,Emotional,I had to make an emergency stop at the bakery to grab some last-minute birthday treats for my roommate's surprise party and it totally threw me off schedule.,2
Missed meeting,Professional,High,Apologetic,"I'm so sorry, I had an unexpected family emergency that came up at the last minute and I wasn't able to leave the house.",3
Late to class,Academic,Low,Emotional,"I'm so sorry I'm late, I got stuck in an epic traffic jam on the way here and my GPS was giving me all wrong directions.",2
Cancelled date,Romantic,High,Emotional,"I'm so sorry, but I have to cancel our date tonight because my grandma's in the hospital and I need to be there for my family.",3
Missed exam,Academic,Medium,Formal,I was feeling extremely unwell after a long night of studying and didn't want to risk getting anyone else sick by attending the exam.,4
Cancelled date,Romantic,Medium,Apologetic,"I had a family emergency that I need to attend to right now, and I won't be able to make it out tonight.",3
Cancelled date,Romantic,Medium,Emotional,"I've been feeling really overwhelmed with things lately, and I think I just need a day to myself to get my priorities straight.",2
Missed meeting,Professional,Low,Emotional,"I got held up at the coffee shop waiting for them to fill my order, and by the time they finally got it together, I was already running way behind schedule.",1
Missed exam,Academic,High,Formal,"I was unexpectedly called away on business by my work supervisor, who required my immediate presence at the office.",4
Missed meeting,Professional,Medium,Apologetic,"Unbelievably, my internet connection went out just as I was about to log in and join the meeting, and by the time it came back on, you had already started.",3
Cancelled date,Romantic,Medium,Emotional,"I'm really regretting this, but my family is going through a tough time and I need to be there for them today.",4
Missed family event,Family,High,Formal,I received a call from my boss asking for my help with an urgent work issue and I couldn't ignore it.,5
Late to class,Academic,Medium,Emotional,I had some last-minute issues with my laptop and I spent a bit too much time troubleshooting before heading to class.,3
Cancelled date,Romantic,Medium,Formal,"My pipes froze during the cold snap, and I'm dealing with a messy cleanup right now.",2
Forgot birthday,Friend,High,Emotional,"I know this sounds pathetic, but I was up all night worrying about something else and just plain forgot it was your birthday.",5
Missed exam,Academic,High,Apologetic,My internet connection at home was down and I couldn't access any study materials or notes for the exam.,4
Forgot anniversary,Romantic,Low,Apologetic,"I'm really sorry, but I got stuck at the office dealing with an unexpected crisis and didn't have a chance to wrap up anything romantic.",3
Forgot birthday,Friend,Low,Formal,I've been going through some digital detox and didn't have my phone nearby.,1
Missed exam,Academic,Low,Formal,"My internet connection went out in the middle of the night, and when I woke up this morning, I had no way of knowing about the exam schedule change until after the exam started.",2
Cancelled date,Romantic,Low,Emotional,"I'm devastated, but my favorite restaurant called and said they have a table available for tonight if we can come in within the next 30 minutes â€“ I feel like I'd be wasting it by canceling.",3
Missed meeting,Professional,Low,Apologetic,"My car broke down on the way here, and I had to call my mechanic to come and tow me away.",3
Didn’t attend family dinner,Family,Low,Emotional,My car's been making this weird noise and I needed to take it in for an oil change before it leaves me stranded on the side of the road.,2
Missed meeting,Professional,Low,Formal,I was stuck in a meeting that ran longer than expected and wasn't able to get out in time.,2
Forgot anniversary,Romantic,Low,Casual,Here are 10 different natural human-like excuses for forgetting an anniversary:,2
Cancelled date,Romantic,Low,Formal,Something unexpected came up at home and I need to take care of it before things get out of hand.,1
Forgot birthday,Friend,Low,Emotional,"Your birthday got lost in the chaos of planning our friend's surprise party, and before I knew it, the day was gone.",3
Missed exam,Academic,Low,Casual,"The bus broke down on the way to campus, and I was waiting for hours before it got fixed.",1
Missed exam,Academic,Low,Casual,I was running late because I got stuck in traffic and didn't want to risk being even later.,3
Missed exam,Academic,Low,Formal,There was a sudden power outage at my apartment complex that made it impossible for me to leave and get to school on time.,2
Missed meeting,Professional,High,Apologetic,"I'm really sorry, but I had a medical appointment that ran longer than expected and I wasn't able to make it to the meeting.",3
Cancelled plans,Friend,Medium,Emotional,"I'm so sorry, but I have to cancel our plans because my mom's been feeling really unwell and I need to take care of her.",3
Didn’t attend family dinner,Family,Low,Apologetic,The rain started pouring down just as I was leaving work and I didn't want to risk getting soaked.,1
Cancelled plans,Friend,High,Formal,I'm dealing with a serious issue at home that requires my full attention and cannot be put off any further.,3
Missed meeting,Professional,Medium,Casual,I had to deal with an unexpected issue at home that required my immediate attention and I lost track of time.,4
Didn’t attend family dinner,Family,High,Formal,I had an unexpected work emergency that required my immediate attention and I wasn't able to leave the office in time.,5
Forgot anniversary,Romantic,High,Emotional,I got caught up in some major creative projects at work and became so immersed that I lost track of time and forgot to check the calendar.,5
Late to class,Academic,Medium,Casual,The parking situation downtown is crazy today â€“ I spent 10 minutes circling around looking for a spot before finally giving up.,4
Cancelled date,Romantic,High,Apologetic,My boss just called me in for an impromptu meeting and I can't reschedule - it's really important for my career.,5
Missed family event,Family,Medium,Casual,I got caught in a sudden rainstorm and couldn't make it through the flooded streets.,4
Cancelled plans,Friend,Low,Formal,I woke up this morning feeling absolutely wiped out from last night's party and need to spend the day recharging.,1
Cancelled date,Romantic,Low,Apologetic,"I feel awful, but I think I might be coming down with something and I don't want to risk getting you sick - maybe we can reschedule for another time?",3
Missed exam,Academic,Low,Formal,I was unexpectedly detained by a family emergency and didn't have time to notify the professor.,2
Late to class,Academic,Low,Casual,I'm running a little behind because I got stuck in an epic gaming session with my friends and lost track of time.,3
Missed exam,Academic,Medium,Emotional,"I've been experiencing severe back pain all morning and my doctor told me to take it easy today, I know this isn't a great excuse but I'm really in pain and couldn't risk making it worse by taking a long walk to class.",4
Cancelled date,Romantic,High,Formal,"Unfortunately, a family member has fallen ill and I need to spend the evening with them.",4
Didn’t attend family dinner,Family,High,Apologetic,I was helping a neighbor with an emergency and didn't want to leave them high and dry.,4
Cancelled date,Romantic,Low,Casual,"I'm really disappointed too, but I just found out that my favorite food truck is in town for the night and I need to go try their new menu item.",1
Missed meeting,Professional,High,Apologetic,"I apologize for the mix-up, but I received a wrong meeting invite from your team and didn't realize we were supposed to start at the earlier time.",5
Cancelled date,Romantic,High,Apologetic,Something catastrophic happened with my flight plan and I have to rebook immediately or risk missing a critical connection.,5
Forgot anniversary,Romantic,Medium,Apologetic,"In all the chaos of daily routine, I missed the date and didn't mean to make it seem like it wasn't important to me.",4
Missed family event,Family,Medium,Formal,My internet connection went out and I couldn't access any important documents or files until it was fixed.,2
Forgot anniversary,Romantic,Low,Casual,"I was in a meeting that ran way longer than expected and before I knew it, hours had passed.",1
Cancelled plans,Friend,Medium,Formal,My kid's school called me in a panic because they lost their report card and I need to go deal with it.,3
Cancelled plans,Friend,High,Apologetic,"I'm so sorry for the short notice, but my boss asked me to cover an unexpected shift and I couldn't turn him down - it was a last-minute scramble.",3
Missed meeting,Professional,High,Formal,"My internet connection was down at home, making it impossible for me to participate remotely in the meeting.",5
Late project submission,Professional,Low,Casual,"The power outage in my neighborhood made me late, as I had to wait for the electricity to come back on before I could start working again.",1
Missed exam,Academic,High,Formal,"Upon waking up that morning, I discovered that my car had been broken into overnight and all my belongings were stolen, including my wallet.",4
Missed meeting,Professional,High,Apologetic,"I'm really sorry, but I had a last-minute project deadline come up at work and I needed to put in some extra hours to meet it.",5
Cancelled date,Romantic,Low,Emotional,"My best friend's birthday is tonight, and she was counting on me to help plan a surprise party â€“ I know it's last-minute, but can we reschedule for another time?",3
Missed exam,Academic,Low,Apologetic,I had an unexpected family emergency that took my attention away from the exam schedule.,1
Late to class,Academic,High,Emotional,I'm running behind because I was stuck in traffic on the highway and it took me an extra 20 minutes to get here.,3
Didn’t attend family dinner,Family,Low,Casual,"I was in the middle of a crucial gaming session with my friends, and I just couldn't leave mid-level.",1
Forgot birthday,Friend,Low,Casual,Here are 10 different natural human-like excuses for forgetting a friend's birthday:,1
Missed family event,Family,Medium,Formal,"The public transportation system failed me and I got stuck in a jam, making it impossible for me to make it to your family gathering.",2
Missed family event,Family,High,Casual,I was stuck in a meeting with an important client and I couldn't just leave without wrapping things up first.,5
Late project submission,Professional,Low,Formal,"My team's lead developer was unexpectedly called out of town for a family emergency and I had to take over their tasks, causing an unavoidable delay in our project timeline.",1
Forgot anniversary,Romantic,Low,Casual,"I was at the gym and lost track of time, didn't mean to forget the special day!",1
Forgot anniversary,Romantic,Medium,Emotional,"I've been dealing with some family issues and it's been hard to keep track of time, I'm really sorry for forgetting our anniversary.",4
Missed exam,Academic,Medium,Formal,"A sudden issue arose at work, requiring my immediate attention and forcing me to leave before the exam started.",2
Forgot anniversary,Romantic,Low,Apologetic,"Let's just say it's a good thing we have a sense of humor about these kinds of things, or I'd be really beating myself up over this.",2
Missed exam,Academic,Medium,Emotional,"I got stuck in traffic and overslept by accident, I know it sounds silly but sometimes these things happen and I promise to be more careful in the future.",2
Didn’t attend family dinner,Family,Low,Casual,"I was stuck in traffic, and by the time I got out of the jam, there just wasn't enough time to make it home for dinner.",1
Cancelled date,Romantic,Medium,Formal,"I had a last-minute work project pop up, and I really need to focus on getting it done today.",3
Missed meeting,Professional,High,Emotional,"I've been dealing with some personal health issues lately, and my energy levels have been low, causing me to oversleep and miss our scheduled meeting.",5
Cancelled date,Romantic,Medium,Emotional,"Something just came up at home that needs my attention right now, and I won't be able to make it.",4
Missed exam,Academic,Low,Emotional,"My phone's GPS led me astray on the way to campus, causing me to arrive an hour late due to a detour through a weird neighborhood.",2
Cancelled date,Romantic,High,Apologetic,I just got a call that my grandma is in the hospital and I need to be there for her.,4
Didn’t attend family dinner,Family,Medium,Formal,"The restaurant where we were going to eat was closed due to a power outage, so I decided to stay home and cook instead.",2
Missed family event,Family,Medium,Apologetic,I'm deeply sorry but I was stuck in traffic for hours due to an accident on the highway and I couldn't make it.,3
Forgot anniversary,Romantic,Low,Apologetic,"I was so looking forward to making something special for you, but my creative juices got stuck in neutral and nothing came together like I wanted.",3
Missed meeting,Professional,High,Formal,I experienced a sudden onset of severe weather-related issues that made traveling to the meeting site unfeasible.,3
Cancelled date,Romantic,High,Casual,I had a minor car accident on the way here and I'm waiting for an tow truck to arrive.,4
Late to class,Academic,Medium,Formal,"I stopped at the library to grab some books for today's class and got lost in the stacks, losing track of time.",3
Cancelled plans,Friend,Medium,Casual,"To be real, I just didn't feel like going out today â€“ sorry!",4
Didn’t attend family dinner,Family,Medium,Emotional,My schedule got totally turned around and I forgot about dinner altogether.,3
Missed family event,Family,Medium,Casual,"My car broke down on the side of the road, and I had to wait for a tow truck to arrive.",2
Cancelled plans,Friend,Medium,Apologetic,"My cat got out of the house and I had to spend hours searching for her before I could leave, and now it's just too late to make it.",2
Cancelled date,Romantic,High,Formal,My apartment complex is experiencing some unexpected plumbing issues and they're requiring all residents to vacate the premises for several hours while they make repairs.,3
Forgot anniversary,Romantic,High,Apologetic,"To be real, I was feeling a bit overwhelmed with work lately and didn't have the mental clarity to remember important dates like our anniversary.",4
Late to class,Academic,High,Formal,"My public transportation route was unexpectedly rerouted due to an unforeseen maintenance issue, causing me to arrive at campus slightly behind schedule.",5
Missed meeting,Professional,Medium,Apologetic,"Regrettably, I got stuck in a never-ending loop of email responses and before I knew it, the meeting time had passed me by.",3
Late project submission,Professional,High,Emotional,"A team member I was counting on for input didn't follow through as promised, leaving me scrambling to fill the gap.",5
Forgot birthday,Friend,Medium,Casual,"I'm so sorry, I was totally caught up in work and lost track of the date.",4
Missed exam,Academic,Medium,Formal,"My car broke down on the way to school, leaving me stranded without transportation to get to campus.",4
Cancelled date,Romantic,Low,Apologetic,Something just came up at home and I really need to take care of it tonight - my plants are dying and I have no one else to count on.,3
Missed exam,Academic,High,Emotional,I got caught in a sudden rainstorm without an umbrella or raincoat and didn't have time to grab anything before it started pouring.,5
Cancelled date,Romantic,Low,Casual,I just got word that my favorite concert ticket lotto winner is selling their extra tickets and I really want to go see this band live.,3
Cancelled plans,Friend,Low,Formal,"The weather took a sudden turn for the worse, and I don't want to risk driving in these treacherous conditions.",1
Didn’t attend family dinner,Family,High,Casual,"My car had issues, the battery died and I had to get it jump-started.",4
Forgot anniversary,Romantic,Medium,Emotional,"I've been stuck in a meeting all day and my phone's been dead, that's why I didn't get your message or remember the special day.",4
Missed meeting,Professional,Medium,Formal,"Regrettably, I was hit with a sudden and severe case of food poisoning that left me unable to leave the house or attend our meeting as planned.",2
Forgot birthday,Friend,Low,Formal,I was preoccupied with a personal matter and my mind was elsewhere.,1
Missed exam,Academic,Medium,Formal,"Traffic was unbelievable, and I got stuck in a jam that made it impossible for me to arrive on time.",4
Forgot birthday,Friend,High,Emotional,"I feel like I should know better than this, but sometimes life gets overwhelming and things slip through the cracks - including important birthdays!",3
Cancelled date,Romantic,Medium,Formal,"Unfortunately, my car broke down this morning and I won't be able to make it out tonight.",3
Forgot anniversary,Romantic,Low,Emotional,"I know this is no excuse, but I've been putting in some crazy overtime at the office, and my brain is just mush from being stuck in meetings all day.",2
Late project submission,Professional,Low,Apologetic,"I apologize for the delay, but I was trying to make sure my work met your high standards, and it just took me a bit longer than expected.",3
Missed meeting,Professional,Low,Apologetic,"Unfortunately, my cat got loose in the house and I had to spend some extra time tracking her down before she got hurt.",3
Late to class,Academic,Low,Emotional,My alarm clock didn't go off and I overslept by like 20 minutes and I just now woke up and rushed out the door without even grabbing a cup of coffee.,1
Missed meeting,Professional,High,Formal,I was faced with an unexpected technical issue at home that required my immediate attention and couldn't be resolved before our meeting time.,5
Missed family event,Family,Low,Formal,"I'm really sorry to have missed the celebration, but I was dealing with a sudden burst of creative inspiration at my art studio and lost track of time.",3
Forgot birthday,Friend,Low,Emotional,"I swear, it's not an excuse, but I was in the middle of a crucial gaming session and didn't want to log off until I finished that one level.",1
Late to class,Academic,Low,Casual,"I stopped by the coffee shop to grab a quick breakfast, but they were out of my favorite pastry, so I ended up chatting with the barista for a bit longer than expected.",1
Cancelled date,Romantic,Low,Formal,I'm afraid I have a sudden case of food poisoning from last night's dinner and don't think I'd be very pleasant company tonight.,2
Cancelled date,Romantic,Low,Emotional,"I know this sounds crazy, but I just realized I left my favorite piece of jewelry in a taxi cab earlier today and I really need to go back and retrieve it before it's too late.",2
Forgot anniversary,Romantic,High,Emotional,My mind has been preoccupied with my mom's health issues and I wasn't thinking clearly enough to remember the special day.,5
Late project submission,Professional,Low,Emotional,"I was on a conference call with a client that went way longer than expected and before I knew it, the deadline had passed.",2
Cancelled plans,Friend,Medium,Emotional,My dog is having an emergency vet visit and I really need to be there for her - sorry to cancel at the last minute!,2
Missed family event,Family,High,Apologetic,"I'm devastated about missing your milestone birthday party, but a flight delay left me stuck in the airport until much later than expected.",3
Missed exam,Academic,High,Formal,"My elderly neighbor suddenly passed away in the middle of the night, requiring me to attend her funeral and making it impossible for me to take the exam.",3
Missed exam,Academic,Medium,Casual,I had to take my car in for an unexpected repair and didn't have access to a reliable ride.,4
Late project submission,Professional,Medium,Casual,I was having some creative blocks and wasn't feeling inspired to work on the project until just recently.,4
Missed meeting,Professional,Medium,Casual,I took a wrong turn on the way here and got stuck in a detour that ate up most of my travel time.,3
Forgot anniversary,Romantic,High,Apologetic,"I got stuck in traffic on the way home from a meeting yesterday evening and didn't get back until really late, which threw off my whole routine and made me forget all about today.",4
Missed meeting,Professional,High,Emotional,"My car broke down on the way here, and by the time I got a ride from a neighbor, I was already pushing it to make the meeting on time.",3
Cancelled date,Romantic,Medium,Casual,"I'm dealing with some family drama that I need to take care of ASAP, and I don't want to bring any stress into our date.",3
Cancelled plans,Friend,Low,Casual,My kid's school called me in a panic saying they found a stray goldfish in the classroom and I needed to come pick it up pronto!,3
Late project submission,Professional,Low,Apologetic,Here are ten different natural human-like excuses for a late project submission:,3
Cancelled plans,Friend,High,Emotional,I got a call from my boss asking me to work an impromptu shift tomorrow morning and I need some prep time tonight.,5
Late project submission,Professional,High,Casual,"Unfortunately, I had to take care of some unexpected personal issues over the weekend and wasn't able to start working on the project until today.",4
Forgot anniversary,Romantic,Medium,Emotional,"We've been so busy with our own projects lately that we both forgot about each other's birthdays, let alone anniversaries.",3
Late to class,Academic,Low,Formal,"The bus I usually take got stuck in a tunnel due to mechanical issues, so I had to find an alternative route.",3
Forgot birthday,Friend,Low,Apologetic,"You know how we've been so busy with work lately? Yeah, I just totally zoned out and forgot â€“ please don't hate me!",3
Missed exam,Academic,High,Emotional,"My car broke down on the way to campus, and I couldn't afford to get it towed or repaired.",5
